bin_index,range_m,analog,analog_sterr,photon_counting,pc_sterr,overflow_info,photon_counting_shifted,pc_sterr_shifted,SNR_analog,SNR_Photon,photon_deadtime_corr_hz,photon_deadtime_corr,analog_bg_corr,photon_bg_corr,afterpulse_profile,photon_APcorr,analog_scaled_for_glue,weight_w,merged_sig,overlap_func,merged_counts_ovcorr,range2_corrected_counts,range2_corrected_counts_overlap,nrb,range2_norm
30,112.5,28.8864,0.0845946,185.172,0.860834,0.0,185.172,0.860834,341.4686043790029,215.10767465039717,427280216.9250334,427.2802169250334,23.202761478521477,427.27317745749986,9.70167421832204,417.57854270671135,1731.6912363401498,0.0,1731.6912363401498,0.2,8658.456181700749,21916717.20993002,109583586.0496501,876668688.3972008,0.3918466426701617
31,116.25,28.4563,0.0831939,185.49,0.865628,0.0,185.49,0.865628,342.0479145706596,214.28373389030855,428977203.08436215,428.97720308436215,22.772661478521478,428.9701636168286,9.346990614560724,419.63021246980145,1699.8270207334485,0.0,1699.8270207334485,0.2,8499.135103667242,22971568.59738062,114857842.98690309,918862743.8952247,0.4107062177939947
32,120.0,28.0867,0.0810882,186.343,0.877955,0.0,186.343,0.877955,346.3722218522547,212.2466413426656,433567132.55730546,433.56713255730546,22.40306147852148,433.5600930897719,9.010325631547508,424.55680692575794,1672.4449837926509,0.0,1672.4449837926509,0.2,8362.224918963253,24083207.766614173,120416038.83307084,963328310.6645669,0.43058109559400837
33,123.75,27.7011,0.0781142,184.854,0.852616,0.0,184.854,0.852616,354.6231030977723,216.80803550484626,425590834.3831091,425.5908343831091,22.01746147852148,425.58379491557554,8.690639246331543,416.90019513677754,1643.8775772873169,0.0,1643.8775772873169,0.2,8219.387886436583,25174443.96092655,125872219.80463274,1006977758.437062,0.4500911907878148
34,127.5,27.2566,0.0740788,184.134,0.845083,0.0,184.134,0.845083,367.9406253881002,217.88865709048696,421793647.6274102,421.79364762741017,21.572961478521478,421.7866081598766,8.386953678499715,413.40669394891046,1610.946529072532,0.0,1610.946529072532,0.2,8054.73264536266,26187949.51323535,130939747.56617674,1047517980.5294139,0.4682115481477133
35,131.25,27.0332,0.0695257,183.582,0.869052,0.0,183.582,0.869052,388.8231258369208,211.24397619475013,418908327.39061064,418.9083273906106,21.34956147852148,418.90128792307706,8.098349630544833,410.8099777600658,1594.3958065276888,0.0,1594.3958065276888,0.2,7971.979032638444,27465959.01088714,137329795.0544357,1098638360.4354854,0.49106094325368005
36,135.0,26.6103,0.062929,183.347,0.864943,0.0,183.347,0.864943,422.86227335568657,211.97581805968719,417686714.4838263,417.6867144838263,20.926661478521478,417.6796750162927,7.823962755847847,409.86275172797843,1563.0650072250287,0.0,1563.0650072250287,0.2,7815.325036125143,28486859.75667615,142434298.78338072,1139474390.267046,0.509313518486783
37,138.75,25.8169,0.0597309,182.259,0.862203,0.0,182.259,0.862203,432.22017414771915,211.38757346007839,412082675.823547,412.082675823547,20.13326147852148,412.07563635601343,7.562980340486277,404.51969548306073,1504.285493943566,0.0,1504.285493943566,0.2,7521.42746971783,28959846.204497933,144799231.02248967,1158393848.1799173,0.5177699925942958
38,142.5,25.2754,0.0621491,183.197,0.868367,0.0,183.197,0.868367,406.6897187569893,210.96725232534172,416909052.12217695,416.90905212217694,19.59176147852148,416.9020126546434,7.314638185916202,409.59441393626076,1464.1681427437775,0.0,1464.1681427437775,0.2,7320.840713718887,29731764.348590832,148658821.74295413,1189270573.9436333,0.5315710345241492
39,146.25,24.8162,0.0611504,182.879,0.873503,0.0,182.879,0.873503,405.8223658389806,209.36276120402562,415265769.0476625,415.2657690476625,19.132561478521477,415.25872958012894,7.078217680360003,408.1875513673025,1430.1480362415746,0.0,1430.1480362415746,0.2,7150.740181207872,30589525.731423303,152947628.6571165,1223581029.256932,0.5469068585371877
40,150.0,24.1815,0.0578447,182.828,0.835837,0.0,182.828,0.835837,418.041756634575,218.7364282748909,415002899.1276105,415.00289912761053,18.49786147852148,414.995859660077,6.853043047469175,408.1498560801414,1383.12590732836,0.0,1383.12590732836,0.2,6915.6295366418,31120332.9148881,155601664.5744405,1244813316.5955238,0.5563971033924549
41,153.75,23.6777,0.0556149,182.259,0.868709,0.0,182.259,0.868709,425.74382045099424,209.80443393587495,412082675.823547,412.082675823547,17.99406147852148,412.07563635601343,6.638478761524034,405.44419706202297,1345.8015831650114,0.0,1345.8015831650114,0.2,6729.007915825056,31813487.737036653,159067438.68518326,1272539509.481466,0.5687899443142004
42,157.5,23.3411,0.0534352,181.841,0.873503,0.0,181.841,0.873503,436.8113153876097,208.17444244610493,409952022.0799342,409.9520220799342,17.65746147852148,409.9449826124006,6.433927119082721,403.51809496085144,1320.8643709510711,0.0,1320.8643709510711,0.2,6604.321854755355,32765691.80190501,163828459.00952503,1310627672.0762002,0.5858142989372774
43,161.25,22.9724,0.0491112,181.038,0.846795,0.0,181.038,0.846795,467.7629542751959,213.79200396790253,405893211.23997617,405.89321123997615,17.28876147852148,405.8861717724426,6.23882595760305,399.6543852823731,1293.5490110482788,0.0,1293.5490110482788,0.2,6467.745055241394,33634295.457585014,168171477.28792506,1345371818.3034005,0.6013439707868111
44,165.0,22.5163,0.0456075,179.347,0.850219,0.0,179.347,0.850219,493.6973085567067,210.9421219709275,397490521.7924416,397.4905217924416,16.83266147852148,397.48348232490804,6.052646512134821,391.4378752803068,1259.7585698992048,0.0,1259.7585698992048,0.2,6298.792849496023,34296927.06550585,171484635.32752922,1371877082.6202338,0.613191090426301
45,168.75,21.9805,0.0445528,179.013,0.850561,0.0,179.013,0.850561,493.35844211811605,210.46462276074263,395853595.40093106,395.85359540093106,16.29686147852148,395.8465559333975,5.874891401719632,389.9787039992114,1220.0635066067825,0.0,1220.0635066067825,0.2,6100.317533033913,34743214.699857205,173716073.49928603,1389728587.9942882,0.6211702193036202
46,172.5,21.5501,0.0445792,180.569,0.827277,0.0,180.569,0.827277,483.41154619194606,218.26909245633564,403543244.17668253,403.54324417668255,15.86646147852148,403.536204709149,5.705092737641765,397.83815143904076,1188.177065320746,0.0,1188.177065320746,0.2,5940.8853266037295,35355693.79995044,176778468.99975222,1414227751.9980175,0.6321206676202338
47,176.25,21.3177,0.0446195,180.151,0.878297,0.0,180.151,0.878297,477.7664474052824,205.1139876374393,401461485.5164687,401.4614855164687,15.634061478521478,401.45444604893515,5.542810346149808,395.9186751703189,1170.9595723958505,0.0,1170.9595723958505,0.2,5854.797861979252,36374761.341877975,181873806.70938987,1454990453.675119,0.6503404671975863
48,180.0,21.0571,0.0443659,178.46,0.848849,0.0,178.46,0.848849,474.623528430619,210.2376276581583,393159561.1840523,393.1595611840523,15.373461478521477,393.1525217165187,5.387630098715691,387.7719310853366,1151.6528656134592,0.0,1151.6528656134592,0.2,5758.2643280672955,37313552.845876075,186567764.22938037,1492542113.835043,0.6671250200795414
49,183.75,20.707,0.0448944,180.1,0.850904,0.0,180.1,0.850904,461.23792722477634,211.65724923140564,401208303.07377684,401.20830307377685,15.02336147852148,401.2012636062433,5.239162343317922,395.96914073045895,1125.7154978294411,0.0,1125.7154978294411,0.2,5628.577489147206,38008728.42593186,190043642.12965932,1520349137.0372744,0.6795539899157595
50,187.5,20.4188,0.0442539,179.029,0.852958,0.0,179.029,0.852958,461.4011420462378,209.89192902815847,395931842.28471315,395.9318422847131,14.73516147852148,395.92480281717957,5.09704043063034,390.8348018540828,1104.3640285482243,0.0,1104.3640285482243,0.2,5521.820142741121,38825297.87864851,194126489.39324254,1553011915.1459403,0.6941533478163606
51,191.25,20.2096,0.0464307,177.289,0.871106,0.0,177.289,0.871106,435.26373713943576,203.52172984688428,387520616.04256535,387.52061604256534,14.525961478521477,387.5135765750318,4.9609193293684335,382.5596967131969,1088.8653214919068,0.0,1088.8653214919068,0.2,5444.326607459534,39826950.485631324,199134752.4281566,1593078019.425253,0.7120617876346286
52,195.0,19.9255,0.0457446,177.272,0.855698,0.0,177.272,0.855698,435.58146753933795,207.1665470761881,387439403.0366409,387.4394030366409,14.241861478521479,387.43236356910734,4.830474325393448,382.6089287112475,1067.8176031616026,0.0,1067.8176031616026,0.2,5339.088015808013,40603764.36021994,203018821.8010997,1624150574.4087975,0.7259503598063421
53,198.75,19.5716,0.0423312,177.071,0.849876,0.0,177.071,0.849876,462.34455909589144,208.3492180035676,386480576.7487771,386.4805767487771,13.887961478521479,386.4735372812435,4.705399799501665,381.7751769492754,1041.5987101060068,0.0,1041.5987101060068,0.2,5207.993550530034,41144776.54717181,205723882.73585904,1645791061.8868723,0.7356230588273744
54,202.5,19.3007,0.0411329,176.72,0.872476,0.0,176.72,0.872476,469.22779575473646,202.549984182946,384812366.953171,384.812366953171,13.617061478521478,384.80532748563746,4.58540807913351,380.2269588740375,1021.528921666445,0.0,1021.528921666445,0.2,5107.644608332224,41889070.34408466,209445351.72042328,1675562813.7633862,0.7489302080088398
