bin_index,range_m,analog,analog_sterr,photon_counting,pc_sterr,overflow_info,photon_counting_shifted,pc_sterr_shifted,SNR_analog,SNR_Photon,photon_deadtime_corr_hz,photon_deadtime_corr,analog_bg_corr,photon_bg_corr,afterpulse_profile,photon_APcorr,analog_scaled_for_glue,weight_w,merged_sig,overlap_func,merged_counts_ovcorr,range2_corrected_counts,range2_corrected_counts_overlap,nrb,range2_norm
13,48.75,35.83,0.0704822,186.494,0.858625,0.0,186.494,0.858625,508.3553010547344,217.20075702431214,434385466.63910115,434.38546663910114,30.160380539460537,434.378811713454,19.895096566880543,414.49037007222057,2379.1695860606096,0.0,2379.1695860606096,0.2,11895.847930303047,5654245.219372167,28271226.096860837,226169808.77488667,0.23141610764974777
14,52.5,34.146,0.0713296,185.659,0.846686,0.0,185.659,0.846686,478.7072968304883,219.27727634565824,429882172.3804843,429.8821723804843,28.47638053946054,429.87551745483717,18.99053455811675,410.89163782236756,2246.6551144246537,0.0,2246.6551144246537,0.2,11233.275572123268,6192343.159132952,30961715.795664757,247693726.36531806,0.25343930012239685
15,56.25,32.7947,0.0723608,188.23,0.842592,0.0,188.23,0.842592,453.2108544958043,223.39400326611218,443921718.0852996,443.92171808529963,27.125080539460537,443.9150631596525,18.13629855037899,425.78541953492066,2140.3209068702195,0.0,2140.3209068702195,0.2,10701.604534351096,6772109.119394054,33860545.59697027,270884364.77576214,0.2771678751427672
16,60.0,31.8103,0.0713073,185.776,0.862719,0.0,185.776,0.862719,446.10159128167805,215.33778669532026,430509960.2007243,430.5099602007243,26.14068053946054,430.5033052750772,17.329406123675696,413.1805540770486,2062.8581717880134,0.0,2062.8581717880134,0.2,10314.290858940067,7426289.418436848,37131447.09218424,297051576.7374739,0.3039420691566662
17,63.75,30.8239,0.0734866,185.326,0.861695,0.0,185.326,0.861695,419.44926013722227,215.07145799847973,428101075.1521752,428.1010751521752,25.154280539460537,428.0944202265281,16.56705456099788,411.53402059117735,1985.2380560981633,0.0,1985.2380560981633,0.2,9926.190280490815,8068131.537361442,40340657.6868072,322725261.49445766,0.33021128796916205
18,67.5,29.8432,0.0720478,187.012,0.885575,0.0,187.012,0.885575,414.2138968851235,211.17578974112865,437206167.2131939,437.2061672131939,24.173580539460538,437.1995122875468,15.846609975445318,421.3595572377486,1908.0664751400982,0.0,1908.0664751400982,0.2,9540.332375700491,8693627.877357073,43468139.386785366,347745115.0942829,0.35581150917198867
19,71.25,28.978,0.0703531,184.591,0.834405,0.0,184.591,0.834405,411.89371896902907,221.2247050293323,424199349.03597033,424.19934903597033,23.30838053946054,424.1926941103232,15.16559709588684,409.0337519400835,1839.983624273454,0.0,1839.983624273454,0.2,9199.91812136727,9340791.867600707,46703959.33800352,373631674.70402825,0.3822985407425597
20,75.0,28.0942,0.0676618,183.272,0.843615,0.0,183.272,0.843615,415.2150844346441,217.2460186222388,417297680.1170744,417.2976801170744,22.42458053946054,417.29102519142725,14.521689671259445,402.77599044581495,1770.4371337557236,0.0,1770.4371337557236,0.2,8852.185668778617,9958708.877375945,49793544.38687972,398348355.0950378,0.4075885562450417
21,78.75,27.173,0.0649217,185.092,0.865107,0.0,185.092,0.865107,418.5503460322203,213.95272492304423,426854501.2195976,426.8545012195976,21.503380539460537,426.84784629395045,13.912701456027971,412.94179976356963,1697.947625875057,0.0,1697.947625875057,0.2,8489.738129375284,10529928.323590783,52649641.61795391,421197132.9436313,0.43096734080924565
22,82.5,26.3691,0.0624548,181.92,0.860331,0.0,181.92,0.860331,422.2109429539443,211.4534987115424,410353763.20025414,410.35376320025415,20.699480539460538,410.347108274607,13.336577741597804,397.01718545865634,1634.6884906326904,0.0,1634.6884906326904,0.2,8173.442453163452,11126098.539368749,55630492.69684374,445043941.57474995,0.4553673067603804
23,86.25,25.6056,0.0608515,182.471,0.848732,0.0,182.471,0.848732,420.7883125313262,214.9924829039084,413168011.48377526,413.1680114837753,19.935980539460537,413.16135655812815,12.791387400606144,400.37662408316913,1574.6084436647259,0.0,1574.6084436647259,0.2,7873.042218323629,11713610.625449626,58568053.127248116,468544425.017985,0.47941291406658715
24,90.0,24.767,0.061186,181.77,0.858625,0.0,181.77,0.858625,404.78213970516134,211.69893725433107,409591337.04294753,409.59133704294754,19.097380539460538,409.5846821173004,12.275315413021143,397.3160216299264,1508.618754879742,0.0,1508.618754879742,0.2,7543.09377439871,12219811.914525911,61099059.57262955,488792476.58103645,0.5001306451625027
25,93.75,23.9648,0.0603714,180.735,0.850097,0.0,180.735,0.850097,396.9561746124821,212.6051497652621,404373276.79617614,404.3732767961761,18.29518053946054,404.366621870529,11.786655844860713,392.5866209513154,1445.4933931538728,0.0,1445.4933931538728,0.2,7227.466965769364,12704531.77576646,63522658.8788323,508181271.03065836,0.519969187573875
26,97.5,23.3259,0.0581383,180.301,0.84191,0.0,180.301,0.84191,401.21400178539795,214.15709517644402,402207161.46067446,402.20716146067446,17.65628053946054,402.20050653502733,11.32380525211114,390.8833562085633,1395.218158042108,0.0,1395.218158042108,0.2,6976.090790210539,13263292.614887789,66316463.07443894,530531704.59551156,0.5428380681193359
27,101.25,22.7155,0.0566869,180.1,0.855896,0.0,180.1,0.855896,400.7186845638057,210.42276164393803,401208303.07377684,401.20830307377685,17.045880539460537,401.2016481481297,10.885256484086923,390.3230465896899,1347.1855965892648,0.0,1347.1855965892648,0.2,6735.927982946324,13810757.342534635,69053786.71267317,552430293.7013854,0.5652446230939059
28,105.0,22.0628,0.0561072,179.649,0.867153,0.0,179.649,0.867153,393.22582484957366,207.17105285918404,398977014.1322377,398.9770141322377,16.393180539460538,398.97035920659056,10.469592862033808,388.50742127020385,1295.8244352847587,0.0,1295.8244352847587,0.2,6479.1221764237935,14286464.399014466,71432321.99507232,571458575.9605786,0.58471429077208
29,108.75,21.4767,0.0546418,178.197,0.847027,0.0,178.197,0.847027,393.04525107152404,210.37936216909262,391885347.2833378,391.88534728333775,15.80708053946054,391.8786923576906,10.07548271024303,381.8098645730947,1249.7040482147863,0.0,1249.7040482147863,0.2,6248.520241073931,14779703.032715185,73898515.16357592,591188121.3086073,0.6049014882361077
30,112.5,20.9254,0.0538863,177.913,0.858966,0.0,177.913,0.858966,388.325047368255,207.12461261563323,390514445.3227756,390.5144453227756,15.255780539460538,390.5077903971285,9.70167421832204,380.81277110445353,1206.3220837178133,0.0,1206.3220837178133,0.2,6031.610418589066,15267513.872053575,76337569.36026788,610700554.8821429,0.6248665377394932
31,116.25,20.4044,0.0521966,176.945,0.849756,0.0,176.945,0.849756,390.91435074315183,208.23036259820466,385880833.0551002,385.8808330551002,14.734780539460537,385.87417812945307,9.346990614560724,376.5338424405395,1165.3244354266415,0.0,1165.3244354266415,0.2,5826.622177133207,15748267.253132846,78741336.26566422,629930690.1253138,0.6445427406405718
32,120.0,19.928,0.0498573,176.461,0.855555,0.0,176.461,0.855555,399.700745928881,206.25325081379927,383586403.4237469,383.5864034237469,14.25838053946054,383.5797484980998,9.010325631547508,374.5760777921994,1127.8363746859234,0.0,1127.8363746859234,0.2,5639.181873429617,16240843.795477297,81204218.97738647,649633751.8190918,0.6647028401280117
33,123.75,19.4172,0.0489036,175.893,0.858625,0.0,175.893,0.858625,397.05052388781195,204.85427281991556,380912538.1777693,380.9125381777693,13.74758053946054,380.9058832521222,8.690639246331543,372.22189893143775,1087.6413674937344,0.0,1087.6413674937344,0.2,5438.206837468671,16656207.879384516,83281039.39692257,666248315.1753806,0.681702799596693
34,127.5,18.9206,0.0472405,175.242,0.852485,0.0,175.242,0.852485,400.51650596416215,205.56608034158955,377872598.9601334,377.87259896013336,13.250980539460539,377.86594403448623,8.386953678499715,369.48564528163365,1048.5637626158152,0.0,1048.5637626158152,0.2,5242.818813079076,17045714.666023348,85228573.33011673,681828586.6409339,0.6976444754473078
35,131.25,18.5438,0.0459885,175.309,0.881822,0.0,175.309,0.881822,403.2268936799417,198.80315982136983,378184259.0836037,378.1842590836037,12.87418053946054,378.1776041579566,8.098349630544833,370.0859094530589,1018.913256135751,0.0,1018.913256135751,0.2,5094.566280678755,17552372.88890102,87761864.44450511,702094915.5560408,0.7183809078619084
